,conditionId,question,endDate,createdAt,closedTime,volume,outcomes,clobTokenIds,prev_prices,winning_token_id,winning_outcome
0,0x80e14125844dcb3dd3885290bc0a03626223a92b3a704ba10363d250e8640b86,Mexican Presidential Election: Will Claudia Sheinbaum win?,2024-05-30T00:00:00Z,2024-01-08T17:51:23.211Z,2024-06-03 12:46:24+00,747925.287237,"[""Yes"", ""No""]","['6612185329411315995201911495298659700662906692479419017253589525535844894016', '105101337642125497479772130530194665111546952858742124983152538530078566129631']","[0.945, 0.055]",6612185329411315995201911495298659700662906692479419017253589525535844894016,Yes
1,0xd2c10628e74b85fae2c89b7a63642960d53bd7533652e076b339e7d6b32f319f,Mexican Presidential Election: Will Xóchitl Gálvez win?,2024-05-30T00:00:00Z,2024-01-08T17:51:23.253Z,2024-06-03 12:56:24+00,686502.79597,"[""Yes"", ""No""]","['22630580583450969756139089277784718260497974893003428673446784801108452526510', '83023413016163749793663256320711862681244617352870508189641651193199858076904']","[0.067, 0.933]",83023413016163749793663256320711862681244617352870508189641651193199858076904,No
2,0xe91b26e02e0a35d164b243a1b1a70d5886441084e9da1f3f664f052730030cbb,Finnish Presidential Election: Will Alexander Stubb win?,2024-01-25T00:00:00Z,2024-01-12T21:22:28.466Z,2024-02-11 22:45:48+00,229590.359179,"[""Yes"", ""No""]","['62471964247263026853388777058136273249949767110527376445244748878335672643018', '38830301479625708201154949015899554206660371261646438755212322043669175443674']","[0.925, 0.075]",62471964247263026853388777058136273249949767110527376445244748878335672643018,Yes
3,0x15a4bdba97f192528be64824720a0c7c70b5e6889e039b5ed11e399c89ecbfe8,Finnish Presidential Election: Will Pekka Haavisto win?,2024-01-26T00:00:00Z,2024-01-12T21:22:28.5Z,2024-02-11 22:46:54+00,221233.399295,"[""Yes"", ""No""]","['101925685470120479562062772358573024242588124565238530106669234637628108688549', '40110642343618331258981864498247528667402422779801149264728979992941055351476']","[0.065, 0.935]",40110642343618331258981864498247528667402422779801149264728979992941055351476,No
4,0xa2279b962c1fa4616bf04f0d54a9a1f3b1697db528c4d2a939ca15ece667f075,Finnish Presidential Election: Will Olli Rehn win?,2024-01-26T00:00:00Z,2024-01-12T21:24:28.98Z,2024-01-29 01:18:40+00,24894.852833,"[""Yes"", ""No""]","['97949868482331892937872138123082774889228648629480982700798780919682297501850', '70676120321627310357265946307281767731938403217922198273478449617977599922022']","[0.007, 0.993]",70676120321627310357265946307281767731938403217922198273478449617977599922022,No
5,0x420fcc123beef1d4cba887bd68a0c430b910683915daea32ecec0f8bd65fe2f1,Finnish Presidential Election: Will Jussi Halla-aho win?,2024-01-26T00:00:00Z,2024-01-12T21:24:29.071Z,2024-01-29 01:16:19+00,103857.344203,"[""Yes"", ""No""]","['9611440891855216962573376732864510973450533939789064172247923332353980803083', '38648361229500518423940490779609405122746316036751940202707146011107749817613']","[0.04, 0.96]",38648361229500518423940490779609405122746316036751940202707146011107749817613,No
6,0x00b2eb5d405afe24310fcd3470b145d4cadb2a6b18e4a988f487f68a7d4ecbf5,Finnish Presidential Election: Will Jutta Urpilainen win?,2024-01-26T00:00:00Z,2024-01-12T21:24:29.094Z,2024-01-29 01:17:44+00,10646.22,"[""Yes"", ""No""]","['69865276162777894638910128059164515207030304333203272300053280441889001808733', '21235029614296028504606387362786995911898224419048110318443151713664118770251']","[0.0005, 0.9995]",21235029614296028504606387362786995911898224419048110318443151713664118770251,No
7,0x34fc85e6dcedfb1e8e97e12b04b695424517917bff86f753063e7cf4faefcd10,Mexican Presidential Election: Will Jorge Álvarez Máynez win?,2024-05-30T00:00:00Z,2024-01-12T21:45:33.893Z,2024-06-03 12:50:54+00,415551.524961,"[""Yes"", ""No""]","['469716720308130922678076573131389092624048022101691424148247635971711753086', '75471639258865390792081720047225185617435775155534648744044382707034505561044']","[0.0005, 0.9995]",75471639258865390792081720047225185617435775155534648744044382707034505561044,No
8,0x3e81450fe47385e6c2642dd290d91ef98f0fbd16fcde61b5c44855cd02eccd8a,Mexican Presidential Election: Will another candidate win?,2024-05-30T12:00:00Z,2024-01-12T21:45:33.957Z,2024-06-03 12:56:18+00,232879.553839,"[""Yes"", ""No""]","['55629335504198428453260292746561520074738690344131668274910269991166334755318', '61430364540004327287111317478713849233808608710129378830811590563016402206670']","[0.0005, 0.9995]",61430364540004327287111317478713849233808608710129378830811590563016402206670,No
9,0x830fe8eb8ab09693af821fba6d1d2c5369a696715c029b978e06df41cc614390,Trump margin of victory in New Hampshire Primary >15%,2024-01-22T00:00:00Z,2024-01-16T16:45:02.413Z,2024-01-24 20:31:40+00,997617.2574219999,"[""Yes"", ""No""]","['79044640158034091299262760108813957417246768673122071583111344168798410046359', '36675510470072774744443533757655464497337222280198476290210465654199705729371']","[0.705, 0.295]",36675510470072774744443533757655464497337222280198476290210465654199705729371,No
10,0x58a6ab5c8c99249e86e856da84e764a8279237b16004f7e0ae1ffadc24dece6a,Trump margin of victory in New Hampshire Primary 12.5-15%,2024-01-22T00:00:00Z,2024-01-16T16:46:40.647Z,2024-01-29 17:17:16+00,313736.56215199997,"[""Yes"", ""No""]","['95340816817297779257311563457534754007219108842735813912850857835597793314229', '20455504727650126084802753777986615243114978941535972319430007093748513793712']","[0.0005, 0.9995]",20455504727650126084802753777986615243114978941535972319430007093748513793712,No
